ASV,Domain,Phylum,Class,Order,Family,Genus,Species,row,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,comparison
efa934e07029e49f4b1959b33c677589,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Bacteroides,NA,efa934e07029e49f4b1959b33c677589,3.7148790718206195,2.669661381987815,0.8556203784011648,3.120147029429589,0.0018076079008689974,0.013414768339530241,Launch plus 4.5 | F-LAR vs GC-LAR
1bafe2718d9c0cc58a98eeee81340ec3,d__Bacteria,p__Bacillota,c__Bacilli,o__RF39,f__Incertae_Sedis,g__Incertae_Sedis.1,NA,1bafe2718d9c0cc58a98eeee81340ec3,5.615029317918857,2.7667394318678316,0.7698543707701999,3.5938477937065554,3.2583022176978086e-4,0.0031990603591942122,Launch plus 4.5 | F-LAR vs GC-LAR
ac28c199405fa8466bdedf16d456edbc,d__Bacteria,p__Bacillota,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__A2,NA,ac28c199405fa8466bdedf16d456edbc,3.9648790718206195,2.7773207154182935,0.9127943566216211,3.042657631777593,0.0023449896319458663,0.01496004803069799,Launch plus 4.5 | F-LAR vs GC-LAR
8da18b476b64f6f053647455b6890f80,d__Bacteria,p__Bacillota,c__Clostridia,o__Oscillospirales,f__Oscillospiraceae,g__Oscillibacter,NA,8da18b476b64f6f053647455b6890f80,94.40176987234892,2.8415351502524917,0.8626468505686327,3.2939726707162165,9.878210232450398e-4,0.008206513116189562,Launch plus 4.5 | F-LAR vs GC-LAR
2b90532f7b4cc2c26abd0f1f1657f80b,d__Bacteria,p__Bacillota,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Incertae_Sedis.2,NA,2b90532f7b4cc2c26abd0f1f1657f80b,4.16487907182062,2.8595482627133584,0.7747579550903514,3.690892418626255,2.2346864416899264e-4,0.002413461357025121,Launch plus 4.5 | F-LAR vs GC-LAR
f9f60c2b7142924f5bf6369037234212,d__Bacteria,p__Bacillota,c__Clostridia,o__Oscillospirales,f__Oscillospiraceae,g__Intestinimonas.1,NA,f9f60c2b7142924f5bf6369037234212,63.83952071919021,2.8749348605219875,0.7142607281400953,4.025049603396502,5.696330702693716e-5,8.202716211878952e-4,Launch plus 4.5 | F-LAR vs GC-LAR
b310236a69032ef47e5c274f5256115a,d__Bacteria,p__Bacillota,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Lachnospiraceae_NK4A136_group.3,NA,b310236a69032ef47e5c274f5256115a,4.2148790718206195,2.877806701212624,0.924976994628539,3.1112197578149723,0.0018631622693792002,0.013414768339530241,Launch plus 4.5 | F-LAR vs GC-LAR
bbc6a214626b3f3c4b8b1d953beeff7c,d__Bacteria,p__Bacillota,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Incertae_Sedis.3,NA,bbc6a214626b3f3c4b8b1d953beeff7c,4.814879071820619,3.0940189197738435,0.904972261181088,3.4189102279619155,6.287246564624826e-4,0.005432181031835849,Launch plus 4.5 | F-LAR vs GC-LAR
76b39e86c95e0c7dd8b9c57b974f6532,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Bacteroides.1,NA,76b39e86c95e0c7dd8b9c57b974f6532,5.064879071820619,3.175492809169831,0.8737068041112712,3.634506214473082,2.7851354447115006e-4,0.0028647107431318294,Launch plus 4.5 | F-LAR vs GC-LAR
f434bb1f62e53ad7aed6f6ffd2ec039c,d__Bacteria,p__Bacillota,c__Bacilli,o__Lactobacillales,f__Lactobacillaceae,g__Ligilactobacillus.1,NA,f434bb1f62e53ad7aed6f6ffd2ec039c,79.03332447208477,3.2100388380521223,0.8537964320754897,3.759723884355963,1.7010099279301643e-4,0.0019337797075416605,Launch plus 4.5 | F-LAR vs GC-LAR
