ASV,Domain,Phylum,Class,Order,Family,Genus,Species,row,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
cc82a5a0b284dea47583c8afa5a99755,d__Bacteria,p__Bacillota,c__Clostridia,o__Oscillospirales,f__Oscillospiraceae,g__Intestinimonas.1,NA,cc82a5a0b284dea47583c8afa5a99755,77.07089425096376,-2.6720970262369717,0.6629328742759707,-4.030720348806553,5.560617155354961e-5,4.077785913926971e-4
1bafe2718d9c0cc58a98eeee81340ec3,d__Bacteria,p__Bacillota,c__Bacilli,o__RF39,f__Incertae_Sedis,g__Incertae_Sedis.4,NA,1bafe2718d9c0cc58a98eeee81340ec3,4.1034368246584645,-2.394163509403746,0.666197345180882,-3.593775217992946,3.259210394244822e-4,0.001826553343327278
924668f542df9de35c2226e4a6cf09bd,d__Bacteria,p__Bacillota,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Lachnospiraceae_NK4A136_group,NA,924668f542df9de35c2226e4a6cf09bd,799.9609702464303,-2.273489493967588,0.5265121090620671,-4.318019386140236,1.5743560514908544e-5,1.4653621710030261e-4
e6fc273ffc0f63757954543fa6f7cd2a,d__Bacteria,p__Bacillota,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Lachnospiraceae_NK4A136_group.1,NA,e6fc273ffc0f63757954543fa6f7cd2a,306.8700261945671,-2.1678309746902222,0.7555092590778778,-2.8693638742907353,0.0041129833041849756,0.018432258511347485
851bd80d021dcf4e9f3f11e95310927c,d__Bacteria,p__Bacillota,c__Clostridia,o__Oscillospirales,f__Oscillospiraceae,g__Incertae_Sedis.5,NA,851bd80d021dcf4e9f3f11e95310927c,20.5976093985429,-2.1251089006234323,0.4401895321896714,-4.827713394392471,1.3810966358904243e-6,1.856807699363793e-5
54dcb911e3ab04e9d5b30c3912100b41,d__Bacteria,p__Bacillota,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Lachnospiraceae_NK4A136_group.2,NA,54dcb911e3ab04e9d5b30c3912100b41,1414.6852665146132,-2.103418670869015,0.6872015093518011,-3.060846989193974,0.0022071185434986173,0.010702081614456026
7807a7c66b7e44dcda14bb67b2e6a4b4,d__Bacteria,p__Bacillota,c__Clostridia,o__Oscillospirales,f__Oscillospiraceae,g__Colidextribacter,NA,7807a7c66b7e44dcda14bb67b2e6a4b4,23.104731273659674,-2.0712324377756053,0.56118830780991,-3.690797561087443,2.23552004432254e-4,0.0013195020749415967
08eedcaf8f982611c4982038139f6271,d__Bacteria,p__Bacillota,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Lachnospiraceae_NK4A136_group.3,NA,08eedcaf8f982611c4982038139f6271,3.641258683034461,2.05043421189154,0.7267063223062308,2.821544479459608,0.004779300935059814,0.021028924114263183
d46e2205f0c6ecf67b51f83d111c509c,d__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,g__Escherichia-Shigella,NA,d46e2205f0c6ecf67b51f83d111c509c,421.02640383287775,2.5285026462908893,0.606516605742843,4.168892693703013,3.0608304191586514e-5,2.554210211849633e-4
86555947ddfc576c1bb9c42deb3998df,d__Bacteria,p__Bacillota,c__Clostridia,o__Oscillospirales,f__Oscillospiraceae,NA.4,NA,86555947ddfc576c1bb9c42deb3998df,35.73329463124354,2.5679792954867016,0.7753807491357501,3.311894573535655,9.266646017558783e-4,0.004875061600541795
7a80eb794179e899066579742bc71f18,d__Bacteria,p__Bacillota,c__Clostridia,o__Oscillospirales,f__Ruminococcaceae,g__Incertae_Sedis.6,NA,7a80eb794179e899066579742bc71f18,8.480115907855142,2.98495129189607,0.7423589716578908,4.020900138419364,5.7976179997961816e-5,4.126539870443164e-4
8da18b476b64f6f053647455b6890f80,d__Bacteria,p__Bacillota,c__Clostridia,o__Oscillospirales,f__Oscillospiraceae,g__Oscillibacter.1,NA,8da18b476b64f6f053647455b6890f80,31.350840704139195,3.1505142763219953,0.8172058723086268,3.8552271625529495,1.1562221635518767e-4,7.408049104923296e-4
f09b6ee752454bc944448e79c63d441d,d__Bacteria,p__Bacillota,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Blautia.1,NA,f09b6ee752454bc944448e79c63d441d,4.975219352693823,3.405956004696927,0.7682295591208752,4.433513348008294,9.270976478680364e-6,9.754679599307166e-5
1c281deaf71c6d702d1ddadfa953eac6,d__Bacteria,p__Bacillota,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Incertae_Sedis.7,NA,1c281deaf71c6d702d1ddadfa953eac6,17.781749697211517,4.2413383940930345,0.7391931370593546,5.737794605298763,9.591733843048216e-9,2.5791106555751874e-7
ee766857ab5fc018ac26632146bc90e1,d__Bacteria,p__Bacillota,c__Clostridia,o__Oscillospirales,f__Oscillospiraceae,g__Colidextribacter.1,NA,ee766857ab5fc018ac26632146bc90e1,35.74573125973473,4.248857647237189,0.8206971810296628,5.177132010989107,2.2532278755592832e-7,3.894865327752475e-6
03a1f9f63e2fa6c7bdf27d33eba2b09d,d__Bacteria,p__Bacillota,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,NA.5,NA,03a1f9f63e2fa6c7bdf27d33eba2b09d,136.28892186000868,4.719422449868388,0.7652517997522267,6.167149755670542,6.953190046158396e-10,2.403817130243331e-8
270a745647e1f4f2daefddcae78b43c7,d__Bacteria,p__Bacillota,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,NA.6,NA,270a745647e1f4f2daefddcae78b43c7,141.0773052248508,4.7662415707131265,0.7637925797876475,6.24023026256455,4.3692722990557483e-10,2.114727792742982e-8
885af48524af5ccac2ffcff5abf6c1f9,d__Bacteria,p__Bacillota,c__Clostridia,o__Oscillospirales,f__Oscillospiraceae,g__Incertae_Sedis.8,NA,885af48524af5ccac2ffcff5abf6c1f9,83.45079444638843,6.193820158820253,0.6294731705900148,9.839688883030059,7.594532339611455e-23,1.8378768261859722e-20
